date;time;temperature;humidite;pyrano;v_vent;d_vent;precipitation;vpd;eto_index
2018-01-07;20:00:00;12.98085;81.9028;0;1.406882;325.3596;0;0.26;0
2018-01-07;20:15:00;13.05409;81.51216;89.32632;2.197299;253.1838;0;0.29;99999.9
2018-01-07;20:30:00;12.96254;79.17754;0;0.5706874;274.1845;0;0.29;99999.9
2018-01-07;20:45:00;12.82826;79.04936;42.93889;0.9002823;299.2007;0;0.29;99999.9
2018-01-07;21:00:00;12.51545;82.3148;0;2.023346;305.084;0.8;0.29;0.04
2018-01-07;21:15:00;11.60296;85.01411;0;1.818875;271.4434;0.2;0.23;99999.9
2018-01-07;21:30:00;11.37255;83.77356;0;0.09765774;324.0027;0;0.23;99999.9
2018-01-07;21:45:00;11.50683;81.07881;0;0.09460594;320.5585;0;0.23;99999.9
2018-01-07;22:00:00;11.57854;80.39063;0;0.09765774;333.2204;0;0.23;0
2018-01-07;22:15:00;11.44122;82.28886;0;0.1007095;287.1925;0;0.25;99999.9
2018-01-07;22:30:00;11.46105;81.24971;0;0.09765774;235.8526;0;0.25;99999.9
2018-01-07;22:45:00;11.09026;82.55741;0;0.09765774;257.8586;0;0.25;99999.9
2018-01-07;23:00:00;10.47684;85.07668;0;0.09765774;247.1852;0;0.25;0
2018-01-07;23:15:00;9.933624;87.50591;0;0.1007095;232.9851;0;0.14;99999.9
2018-01-07;23:30:00;9.83749;87.37164;0;0.09765774;235.4186;0;0.14;99999.9
2018-01-07;23:45:00;10.0206;86.51254;0;0.1037613;242.6258;0;0.14;99999.9
2018-01-08;00:00:00;9.813076;87.10307;0;0.09460594;230.1781;0;0.14;99999.9
2018-01-08;00:15:00;9.41024;89.56741;0;0.09460594;223.0423;0;0.14;99999.9
2018-01-08;00:30:00;9.578091;90.26932;0;0.09460594;217.3239;0;0.14;99999.9
2018-01-08;00:45:00;10.11368;88.76173;0;1.443503;290.8839;0;0.14;99999.9
2018-01-08;01:00:00;11.17876;75.32464;0;0.8636606;288.6702;0;0.14;0
2018-01-08;01:15:00;10.60502;78.78539;0;0.3631647;228.6839;0;0.23;99999.9
2018-01-08;01:30:00;9.78561;83.81628;0;0.1037613;232.0677;0;0.23;99999.9
2018-01-08;01:45:00;9.152359;87.54406;0;0.09460594;232.3479;0;0.23;99999.9
2018-01-08;02:00:00;8.831921;89.26528;0;0.1007095;231.8206;0;0.23;0
2018-01-08;02:15:00;8.195618;93.04341;0;0.09765774;230.0023;0;0.09;99999.9
2018-01-08;02:30:00;7.765316;93.71481;0;0.09460594;227.9533;0;0.09;99999.9
2018-01-08;02:45:00;7.609673;92.11414;0;0.09155414;225.6461;0;0.09;99999.9
2018-01-08;03:00:00;7.258717;93.68582;0;0.1861601;233.8476;0;0.09;0
2018-01-08;03:15:00;7.714962;91.94934;0;0.09765774;230.6066;0;0.08;99999.9
2018-01-08;03:30:00;7.754635;91.50835;0;0.09460594;221.0703;0;0.08;99999.9
2018-01-08;03:45:00;7.753109;92.71381;0;0.09460594;209.6004;0;0.08;99999.9
2018-01-08;04:00:00;7.858395;93.01137;0;0.3082322;213.0611;0;0.08;0
2018-01-08;04:15:00;7.666134;95.04539;0;0.09460594;215.0991;0;0.07;99999.9
2018-01-08;04:30:00;8.049133;94.35874;0;0.6103609;223.361;0;0.07;99999.9
2018-01-08;04:45:00;8.281067;93.23262;0;0.5523766;226.0142;0;0.07;99999.9
2018-01-08;05:00:00;7.801937;94.8455;0;0.09460594;225.9098;0;0.07;0
2018-01-08;05:15:00;7.367058;96.08759;0;0.09155414;221.5042;0;0.06;99999.9
2018-01-08;05:30:00;7.676815;94.90654;0;0.2136263;217.3019;0;0.06;99999.9
2018-01-08;05:45:00;7.675289;94.07645;0;0.09460594;203.1568;0;0.06;99999.9
2018-01-08;06:00:00;7.576103;93.65225;0;0.09155414;205.7606;0;0.06;0
2018-01-08;06:15:00;7.215992;95.32464;0;0.09460594;206.9526;0;0.05;99999.9
2018-01-08;06:30:00;7.058826;95.5642;0;0.09155414;228.5521;0;0.05;99999.9
2018-01-08;06:45:00;7.270924;95.26207;0;0.09155414;229.063;0;0.05;99999.9
2018-01-08;07:00:00;7.162586;95.73357;0;0.09155414;228.4697;0;0.05;0
2018-01-08;07:15:00;6.610207;95.88769;0;0.09155414;228.4697;0;0.03;99999.9
2018-01-08;07:30:00;5.803009;96.18066;0;0.09155414;228.2499;0;0.03;99999.9
2018-01-08;07:45:00;6.06546;97.27322;1733.333;0.09155414;228.5246;0;0.03;99999.9
2018-01-08;08:00:00;6.239414;97.41665;2000;0.09460594;224.531;0;0.03;0.24
